Year,Zone,Sex,Age Group,Population,Hypertension Count,Prevalence Rate %
01/01/2004 12:00:00 AM,Central,F,20 to 29,"24,434",357,1.46
01/01/2004 12:00:00 AM,Central,F,30 to 39,"28,163","1,645",5.84
01/01/2004 12:00:00 AM,Central,F,40 to 49,"32,658","4,410",13.5
01/01/2004 12:00:00 AM,Central,F,50 to 59,"25,516","7,857",30.79
01/01/2004 12:00:00 AM,Central,F,60 to 69,"15,558","8,180",52.58
01/01/2004 12:00:00 AM,Central,F,70 to 79,"11,394","7,908",69.4
01/01/2004 12:00:00 AM,Central,F,80 +,"8,973","6,770",75.45
01/01/2004 12:00:00 AM,Central,M,20 to 29,"23,630",317,1.34
01/01/2004 12:00:00 AM,Central,M,30 to 39,"25,732","1,307",5.08
01/01/2004 12:00:00 AM,Central,M,40 to 49,"30,885","4,017",13.01
01/01/2004 12:00:00 AM,Central,M,50 to 59,"24,093","7,018",29.13
01/01/2004 12:00:00 AM,Central,M,60 to 69,"14,630","6,993",47.8
01/01/2004 12:00:00 AM,Central,M,70 to 79,"9,025","5,730",63.49
01/01/2004 12:00:00 AM,Central,M,80 +,"4,542","3,019",66.47
01/01/2004 12:00:00 AM,Eastern,F,20 to 29,"8,142",188,2.31
01/01/2004 12:00:00 AM,Eastern,F,30 to 39,"9,770",824,8.43
01/01/2004 12:00:00 AM,Eastern,F,40 to 49,"13,787","2,473",17.94
01/01/2004 12:00:00 AM,Eastern,F,50 to 59,"12,906","4,753",36.83
01/01/2004 12:00:00 AM,Eastern,F,60 to 69,"8,809","5,035",57.16
01/01/2004 12:00:00 AM,Eastern,F,70 to 79,"6,321","4,520",71.51
01/01/2004 12:00:00 AM,Eastern,F,80 +,"5,490","4,196",76.43
01/01/2004 12:00:00 AM,Eastern,M,20 to 29,"8,342",133,1.59
01/01/2004 12:00:00 AM,Eastern,M,30 to 39,"9,667",692,7.16
01/01/2004 12:00:00 AM,Eastern,M,40 to 49,"13,168","2,165",16.44
01/01/2004 12:00:00 AM,Eastern,M,50 to 59,"13,366","4,386",32.81
01/01/2004 12:00:00 AM,Eastern,M,60 to 69,"8,627","4,422",51.26
01/01/2004 12:00:00 AM,Eastern,M,70 to 79,"5,228","3,359",64.25
01/01/2004 12:00:00 AM,Eastern,M,80 +,"2,846","1,952",68.59
01/01/2004 12:00:00 AM,Northern,F,20 to 29,"7,978",178,2.23
01/01/2004 12:00:00 AM,Northern,F,30 to 39,"9,971",740,7.42
01/01/2004 12:00:00 AM,Northern,F,40 to 49,"12,441","2,136",17.17
