Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2002 12:00:00 AM,Unknown,M,0 to 9,"6,947",844,12.15
01/01/2002 12:00:00 AM,Unknown,M,10 to 19,"13,173","1,912",14.51
01/01/2002 12:00:00 AM,Unknown,M,20 to 29,"11,909",662,5.56
01/01/2002 12:00:00 AM,Unknown,M,30 to 39,"8,812",267,3.03
01/01/2002 12:00:00 AM,Unknown,M,40 to 49,"6,876",216,3.14
01/01/2002 12:00:00 AM,Unknown,M,50 to 59,"4,662",139,2.98
01/01/2002 12:00:00 AM,Unknown,M,60 to 69,"2,790",125,4.48
01/01/2002 12:00:00 AM,Unknown,M,70 to 79,"1,547",66,4.27
01/01/2002 12:00:00 AM,Unknown,M,80 +,808,38,4.7
01/01/2002 12:00:00 AM,Western,F,0 to 9,"9,105",800,8.79
01/01/2002 12:00:00 AM,Western,F,10 to 19,"9,606","1,250",13.01
01/01/2002 12:00:00 AM,Western,F,20 to 29,"9,945",929,9.34
01/01/2002 12:00:00 AM,Western,F,30 to 39,"13,432",950,7.07
01/01/2002 12:00:00 AM,Western,F,40 to 49,"16,952","1,172",6.91
01/01/2002 12:00:00 AM,Western,F,50 to 59,"14,674","1,098",7.48
01/01/2002 12:00:00 AM,Western,F,60 to 69,"9,925",678,6.83
01/01/2002 12:00:00 AM,Western,F,70 to 79,"7,587",512,6.75
01/01/2002 12:00:00 AM,Western,F,80 +,"6,292",336,5.34
01/01/2002 12:00:00 AM,Western,M,0 to 9,"9,779","1,278",13.07
01/01/2002 12:00:00 AM,Western,M,10 to 19,"10,217","1,591",15.57
01/01/2002 12:00:00 AM,Western,M,20 to 29,"9,871",503,5.1
01/01/2002 12:00:00 AM,Western,M,30 to 39,"12,969",532,4.1
01/01/2002 12:00:00 AM,Western,M,40 to 49,"16,389",582,3.55
01/01/2002 12:00:00 AM,Western,M,50 to 59,"14,601",555,3.8
01/01/2002 12:00:00 AM,Western,M,60 to 69,"9,894",435,4.4
01/01/2002 12:00:00 AM,Western,M,70 to 79,"6,480",307,4.74
01/01/2002 12:00:00 AM,Western,M,80 +,"3,627",195,5.38
01/01/2003 12:00:00 AM,Central,F,0 to 9,"19,489","2,002",10.27
01/01/2003 12:00:00 AM,Central,F,10 to 19,"23,903","3,918",16.39
01/01/2003 12:00:00 AM,Central,F,20 to 29,"24,009","2,754",11.47
01/01/2003 12:00:00 AM,Central,F,30 to 39,"28,577","2,456",8.59
01/01/2003 12:00:00 AM,Central,F,40 to 49,"32,038","3,027",9.45
01/01/2003 12:00:00 AM,Central,F,50 to 59,"24,468","2,417",9.88
01/01/2003 12:00:00 AM,Central,F,60 to 69,"14,963","1,424",9.52
01/01/2003 12:00:00 AM,Central,F,70 to 79,"11,307",920,8.14
01/01/2003 12:00:00 AM,Central,F,80 +,"8,796",588,6.68
01/01/2003 12:00:00 AM,Central,M,0 to 9,"20,083","3,027",15.07
01/01/2003 12:00:00 AM,Central,M,10 to 19,"24,984","4,938",19.76
01/01/2003 12:00:00 AM,Central,M,20 to 29,"23,124","1,802",7.79
01/01/2003 12:00:00 AM,Central,M,30 to 39,"25,977","1,300",5
01/01/2003 12:00:00 AM,Central,M,40 to 49,"30,228","1,406",4.65
01/01/2003 12:00:00 AM,Central,M,50 to 59,"23,194","1,090",4.7
01/01/2003 12:00:00 AM,Central,M,60 to 69,"14,068",739,5.25
01/01/2003 12:00:00 AM,Central,M,70 to 79,"8,821",475,5.38
01/01/2003 12:00:00 AM,Central,M,80 +,"4,392",236,5.37
01/01/2003 12:00:00 AM,Eastern,F,0 to 9,"7,635",769,10.07
01/01/2003 12:00:00 AM,Eastern,F,10 to 19,"8,150","1,146",14.06
01/01/2003 12:00:00 AM,Eastern,F,20 to 29,"8,227",669,8.13
01/01/2003 12:00:00 AM,Eastern,F,30 to 39,"10,105",628,6.21
01/01/2003 12:00:00 AM,Eastern,F,40 to 49,"13,874",821,5.92
01/01/2003 12:00:00 AM,Eastern,F,50 to 59,"12,510",873,6.98
01/01/2003 12:00:00 AM,Eastern,F,60 to 69,"8,505",570,6.7
01/01/2003 12:00:00 AM,Eastern,F,70 to 79,"6,344",384,6.05
01/01/2003 12:00:00 AM,Eastern,F,80 +,"5,440",291,5.35
01/01/2003 12:00:00 AM,Eastern,M,0 to 9,"8,117","1,188",14.64
01/01/2003 12:00:00 AM,Eastern,M,10 to 19,"8,825","1,535",17.39
01/01/2003 12:00:00 AM,Eastern,M,20 to 29,"8,365",518,6.19
01/01/2003 12:00:00 AM,Eastern,M,30 to 39,"9,881",339,3.43
01/01/2003 12:00:00 AM,Eastern,M,40 to 49,"13,370",442,3.31
01/01/2003 12:00:00 AM,Eastern,M,50 to 59,"12,903",448,3.47
01/01/2003 12:00:00 AM,Eastern,M,60 to 69,"8,418",323,3.84
01/01/2003 12:00:00 AM,Eastern,M,70 to 79,"5,186",216,4.17
01/01/2003 12:00:00 AM,Eastern,M,80 +,"2,793",119,4.26
01/01/2003 12:00:00 AM,Northern,F,0 to 9,"7,413",710,9.58
01/01/2003 12:00:00 AM,Northern,F,10 to 19,"7,667","1,070",13.96
01/01/2003 12:00:00 AM,Northern,F,20 to 29,"8,056",817,10.14
01/01/2003 12:00:00 AM,Northern,F,30 to 39,"10,142",787,7.76
01/01/2003 12:00:00 AM,Northern,F,40 to 49,"12,463",951,7.63
01/01/2003 12:00:00 AM,Northern,F,50 to 59,"10,797",873,8.09
01/01/2003 12:00:00 AM,Northern,F,60 to 69,"7,121",536,7.53
01/01/2003 12:00:00 AM,Northern,F,70 to 79,"5,523",386,6.99
01/01/2003 12:00:00 AM,Northern,F,80 +,"4,623",252,5.45
01/01/2003 12:00:00 AM,Northern,M,0 to 9,"7,938","1,168",14.71
01/01/2003 12:00:00 AM,Northern,M,10 to 19,"8,206","1,367",16.66
01/01/2003 12:00:00 AM,Northern,M,20 to 29,"7,969",512,6.42
